repository,authors_considered,total_experience,mean_experience
ActiveLearning,6,3964,660
android_device_lge_mako,55,15088,274
android_device_moto_shamu,138,43657,316
android_device_semc_msm7x30-common,10,2630,263
android_external_chromium,16,5745,359
android_external_skia,100,54312,543
android_frameworks_av,152,70905,466
android_frameworks_native,239,170642,713
android_hardware_qcom_camera,75,28534,380
android_system_vold,34,13768,404
ar_tools,10,2912,291
ART,74,22991,310
astaire,20,9852,492
brightray,17,6288,369
caffe-3dobjdet,52,6932,133
cppcheck,74,42166,569
cse502-prj,3,237,79
cxxnet,12,2950,245
device_moto_shamu,109,31597,289
dfs,11,5299,481
ds3_browser,5,685,137
electricsheep,9,9537,1059
external_skia,100,54495,544
external-astl,2,65,32
FFTEAM-MP3-Martii,18,13386,743
googletest,8,5735,716
goquic,7,2155,307
iiit-processor-sim,3,1602,534
image-uploader,7,8653,1236
imgbrd-grabber,8,8980,1122
Joker,4,1422,355
kcoreaddons,19,3275,172
kde-baseapps,361,354426,981
kwidgetsaddons,14,2279,162
lldb,72,28957,402
mandelbulber2,22,18431,837
martiis-neutrino-mp,17,13173,774
meego-app-browser,606,207468,342
Mine-DS,6,6492,1082
mtasa-blue,62,54605,880
myroot,51,66194,1297
native,255,180584,708
navit,4,291,72
npapi-vlc,22,25521,1160
nullc,4,5667,1416
nvidia-texture-tools,11,11112,1010
openmalaria,15,13536,902
open-zwave,107,36860,344
osghimmel,2,589,294
parameter_server,8,2044,255
Peerunity,70,13136,187
pingus,13,13876,1067
platform_device_lge_mako,54,15083,279
platform_device_moto_shamu,109,31878,292
platform_external_skia,102,54589,535
plv8,8,6039,754
Project,14,397,28
purine2,1,60,60
qextserialport,6,3462,577
rabit,10,2796,279
retro-emulator,1,44,44
RHaPSODIES,1,577,577
rowboat-frameworks-native,172,118013,686
simc,239,154413,646
sqlyog-community,11,3075,279
ssf,12,3482,290
subsurface,16,8053,503
talk,78,20003,256
texworks,13,11408,877
ubuntu-phone_frameworks_av,97,46376,478
webrtc,104,47238,454
webrtc-Revision-8758,70,29781,425
vlc-android,19,12766,671
volleyclubstats,4,759,189
wombatforensics,5,9784,1956
xboxdrv,1,3708,3708
xgboost,72,32542,451
yaml-cpp,3,4273,1424
z3,73,33409,457
zero,16,6765,422
