repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
Lpop-Rom/android_frameworks_av,C++,0.862565,22,0,0.288116,78.797752,0.000000,1,420369,0.036575,0,1,1,1,1
Lpop-Rom/android_device_moto_shamu,C++,0.779661,37,0,0.218196,81.153847,0.000000,1,107727,0.065075,0,1,1,1,1
Lpop-Rom/android_system_vold,C++,0.857143,16,0,0.152347,10.265625,0.000000,1,8111,0.007356,0,1,1,1,1
ar-tools/ar_tools,C++,1.000000,2,0,0.124130,2.571429,1.000000,1,1569,0.000000,8,1,1,1,1
havokentity/osghimmel,C++,0.158140,3,0,0.229255,4.000000,0.000000,1,39675,0.426369,0,1,1,1,1
tre4got/Project,C++,0.950820,4,0,0.072341,202.000000,0.000000,1,21230,0.420048,0,1,1,1,1
Evervolv/android_device_moto_shamu,C++,0.779661,33,0,0.217547,79.181816,0.000000,1,107541,0.065225,0,1,1,1,1
enginespot/gtest,C++,0.888889,3,0,0.283906,8.455696,0.000000,1,40694,0.538497,0,1,1,1,1
jbeder/yaml-cpp,C++,0.913386,2,0,0.203321,2.962963,0.111111,1,175471,0.811908,279,1,1,1,1
scottdraves/electricsheep,C++,0.772409,3,0,0.172396,2.380952,0.023810,1,307249,0.009525,44,1,1,1,1
buddhi1980/mandelbulber2,C++,0.991870,3,0,0.097130,57.000000,1.500000,1,55095,0.000000,31,1,1,1,1
androidarmv6/android_external_chromium,C++,0.972349,8,0,0.171051,3.448276,0.000000,1,1483983,0.038108,0,1,1,1,1
Bioconductor-mirror/casper,C++,0.857143,2,0,0.209958,5.250000,0.000000,1,12139,0.512988,0,1,1,1,1
znac049/retro-emulator,C++,0.976471,1,0,0.048641,51.000000,1.000000,1,4641,0.000000,0,0,1,1,1
dmlc/rabit,C++,0.950000,1,0,0.276013,53.000000,0.500000,1,8647,0.069511,119,1,1,1,1
aospo/platform_external_skia,C++,0.974610,14,0,0.061798,126.732674,0.000000,1,1210587,0.099004,0,1,1,1,1
sony-omni/android_hardware_qcom_camera,C++,0.810811,25,0,0.221148,35.238094,0.000000,1,93682,0.068674,0,1,1,1,1
